Spider-Man (Peter Parker)
Franklin Rock (New Earth)
Garth (New Earth)
Rex Mason (New Earth)
Zatanna Zatara (New Earth)
Aztar (New Earth)
Theodore Kord (New Earth)
Michael Jon Carter (New Earth)
Cassandra Sandsmark (New Earth)
Kent Nelson (New Earth)
Harvey Bullock (New Earth)
Rachel Roth (New Earth)
Helena Bertinelli (New Earth)
Wesley Dodds (New Earth)
Uxas (New Earth)
Nathaniel Adam (New Earth)
Ronald Raymond (New Earth)
Red Tornado (New Earth)
John Constantine (New Earth)
Albert Pratt (New Earth)
Charles McNider (New Earth)
Theodore Knight (New Earth)
Lobo (New Earth)
Perry White (New Earth)
John Henry Irons (New Earth)
Jefferson Pierce (New Earth)
Slade Wilson (New Earth)
Phantom Stranger (New Earth)
Beatriz da Costa (New Earth)
William Batson (New Earth)
Carol Ferris (New Earth)
Clifford Steele (New Earth)
Etrigan (New Earth)
Jennifer-Lynn Hayden (New Earth)
Swamp Thing (New Earth)
Renee Montoya (New Earth)
Harvey Dent (New Earth)
Courtney Whitmore (New Earth)
Kendra Saunders (New Earth)
Michael Holt (New Earth)
Kilowog (New Earth)
Kara Zor-El (New Earth)
Jonah Hex (New Earth)
Rex Tyler (New Earth)
Pamela Isley (New Earth)
Pieter Cross (New Earth)
Mari McCabe (New Earth)
Scott Free (New Earth)
Martha Clark (New Earth)
Boston Brand (New Earth)
Daniel Turpin (New Earth)
Jonathan Kent (New Earth)
Oswald Cobblepot (New Earth)
Tatsu Yamashiro (New Earth)
Lawrence Trainor (New Earth)
Albert Rothstein (New Earth)
Brion Markov (New Earth)
Sanderson Hawkins (New Earth)
Jonathan Chambers (New Earth)
Orion (New Earth)
Thaal Sinestro (New Earth)
Cassandra Cain (New Earth)
Jason Todd (New Earth)
Susan Dearbon (New Earth)
Jean-Paul Valley (New Earth)
Hippolyta (New Earth)
Joseph Wilson (New Earth)
Bernhard Baker (New Earth)
Sylvester Pemberton (New Earth)
Jesse Chambers (New Earth)
Floyd Lawton (New Earth)
James Corrigan (New Earth)
