hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
3ACRLU860NVNQY2H2H01TR69W97EBX,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/d/da/Samuel_Guthrie_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/325?cb=20180207234947,FALSE,tumidly,tumidly,,,,brave,bold,simple,handsome,protected,blue
3ACRLU860NVNQY2H2H01TR69W97EBX,A2C1UPBEGUY9Y6,https://vignette.wikia.nocookie.net/marveldatabase/images/d/da/Samuel_Guthrie_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/325?cb=20180207234947,FALSE,tumidly,tumidly,reckless,unfocused,free,dauntless,powerful,careless,flying,young,blue
36MUZ9VAE6JG5V01GDR7OHU9ZUJED4,A2N74CHUQ5T60G,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Iron_Fist_Vol_5_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20161220170752,FALSE,cartway,cartway,nervous,excited,scared,angry,violent,powerful,strong,magical,fast
3R4QIDVOJPTLX1E1C82RUZCUZ6KEEX,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e8/Richard_Jones_%28Earth-616%29_from_Hulk_Vol_3_6_001.jpg/revision/latest?cb=20140918011157,FALSE,crenels,crenels,,,,young,worried,bold,handsome,ginger,red
3R4QIDVOJPTLX1E1C82RUZCUZ6KEEX,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e8/Richard_Jones_%28Earth-616%29_from_Hulk_Vol_3_6_001.jpg/revision/latest?cb=20140918011157,FALSE,crenels,crenels,nonplussed,bored,unimpressed,boring,average,annoying,basic,normal,white
3DGDV62G7OQXZCRBS2N1MA29GAWP2R,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/4/40/Edwin_Jarvis_%28Earth-616%29_from_All-New%2C_All-Different_Avengers_Vol_1_4_001.jpg/revision/latest/scale-to-width-down/281?cb=20160128002855,FALSE,pleurum,pleurum,,,,devious,evil,,professional,white,
3JTPR5MTZSTONIDIXTKRO0JM6AHK5M,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/6/63/All-New_Invaders_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140116231705,FALSE,caplins,caplins,,,,angry,evil,vengeful,attractive,glowing,red
3JTPR5MTZSTONIDIXTKRO0JM6AHK5M,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/6/63/All-New_Invaders_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140116231705,FALSE,caplins,caplins,disgusted,sad,scared,cunning,mean,evil,glowing,fiery,flaming
3BKZLF990ZG809LXL09LVJTO0LDQY0,A3MAF5W7IGJTQS,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a2/Loki_Laufeyson_%28Earth-616%29_from_Thor_Vol_3_12_0001.jpg/revision/latest/scale-to-width-down/321?cb=20101120182453,FALSE,tzaddik,tzaddik,inspired,worried,scared,tough,brave,powerful,green,manly,
34XASH8KLQ3N6GV42K6L1JG7MFDMPF,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/02/Brian_Braddock_%28Earth-616%29_from_X-Men_Gold_Annual_Vol_1_1_cover.jpg/revision/latest/scale-to-width-down/202?cb=20180110185653,FALSE,fraenum,fraenum,,,,strong,wise,powerful,muscular,large,costumed
3909MD9T2ZYD3FEX7JMXCHXUB7ZEFF,A30VAVBAUXE301,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b3/Timothy_Dugan_%28Earth-616%29_from_S.H.I.E.L.D._Vol_3_9_001.jpg/revision/latest/scale-to-width-down/350?cb=20150830070302,FALSE,wingers,wingers,,,,mysterious,reserved,dark,muscular,tall,
3909MD9T2ZYD3FEX7JMXCHXUB7ZEFF,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b3/Timothy_Dugan_%28Earth-616%29_from_S.H.I.E.L.D._Vol_3_9_001.jpg/revision/latest/scale-to-width-down/350?cb=20150830070302,FALSE,wingers,wingers,anxious,scared,perilous,cunning,mean,evil,mustached,fit,white
3OB6JN3A9Q68ITBJFCAA6EGMNX1MR7,A1P97PT7OUQHU4,https://vignette.wikia.nocookie.net/marveldatabase/images/8/86/Falcon_Vol_2_7_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20180124013445,FALSE,estrins,estrins,sad,scared,,colorful,happy,friendly,strong,powerful,
3OB6JN3A9Q68ITBJFCAA6EGMNX1MR7,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/8/86/Falcon_Vol_2_7_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20180124013445,FALSE,estrins,estrins,nervous,anxious,scared,cunning,mean,evil,masked,buff,winged
3OND0WXMHWWXHB5329AXF297RMCEHD,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Harold_Lyman_%28Earth-616%29_from_Amazing_Spider-Man_Vol_4_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20151105025118,TRUE,eggment,eggment,,,,wealthy,charismatic,,built,professional,man
3OND0WXMHWWXHB5329AXF297RMCEHD,A2DIGKVLJWN955,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Harold_Lyman_%28Earth-616%29_from_Amazing_Spider-Man_Vol_4_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20151105025118,FALSE,eggment,eggment,,,,smooth,intelligent,happy,smooth,pretty,lean
3O71U79SRB6KJ8BWU1AFWOLI9ZKMSV,A3MAF5W7IGJTQS,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4a/Franklin_Richards_%28Earth-616%29_from_Fantastic_Four_Vol_6_2_001.jpg/revision/latest/scale-to-width-down/350?cb=20180913004550,FALSE,digests,digests,majestic,curious,happy,mischievous,funny,playful,blond,white,muscular
3O71U79SRB6KJ8BWU1AFWOLI9ZKMSV,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4a/Franklin_Richards_%28Earth-616%29_from_Fantastic_Four_Vol_6_2_001.jpg/revision/latest/scale-to-width-down/350?cb=20180913004550,FALSE,digests,digests,chill,funny,content,boring,funny,annoying,basic,normal,white
