hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
39RRBHZ0AWI6V11T69FPGIHPWARVZ3,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/6/66/Maria_Callasantos_%28Earth-616%29_from_X-Factor_Vol_1_220_001.jpg/revision/latest?cb=20140113004506,False,visiter,visiter,affable,bold,blissful,confident,clever,dark,fair,lucky,
3AA88CN98RKSA0XCBJZZ02X6AIGYKT,A3DFNUPB6VEJNS,https://vignette.wikia.nocookie.net/marveldatabase/images/5/52/William_Cross_%28Earth-616%29_from_Marvel_War_of_Heroes_001.jpg/revision/latest/scale-to-width-down/304?cb=20140305024341,False,weenier,weenier,angry,weak,,evil,mean,commanding,tall,strong,menacing
3AFT28WXLHJPAR3M5T5PLVKR44SIOR,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f3/Phillip_Urich_%28Earth-616%29_from_Amazing_Spider-Man_Vol_3_17.1_001.png/revision/latest?cb=20150421012451,False,apriori,apriori,wicked,wild,waspish,laid-back,easy-going,,attractive,stooped,pigeon-toed
3AFT28WXLHJPAR3M5T5PLVKR44SOIX,A2CUFLOIO8ZAW4,https://vignette.wikia.nocookie.net/marveldatabase/images/3/33/Brandy_Clark_%28Earth-616%29_0002.jpg/revision/latest?cb=20080611170624,False,daffery,daffery,worried,caring,enraged,angry,concerned,intense,female,,
3AFT28WXLHJPAR3M5T5PLVKR44SOIX,A1NF6PELRKACS9,https://vignette.wikia.nocookie.net/marveldatabase/images/3/33/Brandy_Clark_%28Earth-616%29_0002.jpg/revision/latest?cb=20080611170624,False,daffery,daffery,likeable,kind,,outspoken,curious,kind,strong,attractive,active
3AJA9FLWSEFV4EQT6QMZY1BDC31IF5,A2IZN6YFSP7YQ9,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d2/Blackout_%28Lilin%29_%28Earth-616%29_from_Ghost_Riders_Heaven%27s_on_Fire_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20091008131332,False,caracol,caracol,,,,fierce,frightening,haughty,mutant,frightening,scary
3AJA9FLWSEFV4EQT6QMZY1BDC31IF5,A1X9X6JCC0UEKM,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d2/Blackout_%28Lilin%29_%28Earth-616%29_from_Ghost_Riders_Heaven%27s_on_Fire_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20091008131332,False,caracol,caracol,irritable,dangerous,naughty,mean,manipulative,,strong,scary,
3AJA9FLWSEFV4EQT6QMZY1BDC31IF5,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d2/Blackout_%28Lilin%29_%28Earth-616%29_from_Ghost_Riders_Heaven%27s_on_Fire_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20091008131332,False,caracol,caracol,churlish,bothered,,rational,sincere,sensible,stupefied,shy,serious
3APP19WN73VLPURNF9JSJJLK4R6G68,A1THSBWV04YAIK,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4e/Rose.jpg/revision/latest?cb=20110121232912,False,ruptive,ruptive,,,,angry,confused,intense,plain,attractive,handsome
3AQN9REUTHXKWUR2J2DCWP2GQ9JYDG,A3UNY9FSBWUFRX,https://vignette.wikia.nocookie.net/marveldatabase/images/d/db/Marrina_Smallwood_%28Earth-616%29_from_Alpha_Flight_Vol_4_3_001.jpg/revision/latest/scale-to-width-down/260?cb=20140211230840,False,jaegers,jaegers,intolerant,nasty,,testy,sneering,self-assured,reptilian,strong,dangerous
3AQN9REUTHXKWUR2J2DCWP2GQ9JYDG,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/d/db/Marrina_Smallwood_%28Earth-616%29_from_Alpha_Flight_Vol_4_3_001.jpg/revision/latest/scale-to-width-down/260?cb=20140211230840,False,jaegers,jaegers,reckless,reflective,panicky,kooky,enthusiastic,adventurous,paunchy,podgy,stocky
3B286OTISGYW3YTRDSL7W1FMS2DJA5,A2IZN6YFSP7YQ9,https://vignette.wikia.nocookie.net/marveldatabase/images/4/49/Calvin_Rankin_%28Earth-616%29_from_X-Men_Legacy_Vol_1_264.jpg/revision/latest/scale-to-width-down/257?cb=20120328234818,False,surgeon,surgeon,foreboding,,,industrious,intelligent,egotistical,foreboding,bold,frightening
3B286OTISGYW3YTRDSL7W1FMS2DJA5,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/4/49/Calvin_Rankin_%28Earth-616%29_from_X-Men_Legacy_Vol_1_264.jpg/revision/latest/scale-to-width-down/257?cb=20120328234818,False,surgeon,surgeon,passionate,joyful,,convivial,chatty,cheerful,muscular,burly,beefy
3BAKUKE49JTH7YZ4PE1NNR8AYP1R1H,A3IJNWM14T6CN7,https://vignette.wikia.nocookie.net/marveldatabase/images/e/ed/Kavita_Rao_%28Earth-616%29_from_Uncanny_X-Men_Vol_2_5_0001.png/revision/latest/scale-to-width-down/350?cb=20140115095947,False,actuals,actuals,kind,serious,helpful,kind,serious,smart,kind,serious,smart
